,name,time,tweet,Source,Likes,RTs,Localization
49,Antônio Bueno,2022-11-09 15:17:10+00:00,"@Robsoniecker Tu leu o tuíte do Tabet? kkkk

https://t.co/d1o1MFv9Sh",Twitter Web App,0,0,Springfield
50,hiro.exe ⛧ #SDOL 🧪,2022-11-09 15:09:07+00:00,meu deus que teclado ruim desse tabet,Twitter for Android,0,0,sou chato | ele/dele
51,Allan Magno,2022-11-09 14:01:50+00:00,@samklein @simonetebetbr @gzhdigital A Tabet me parece até que ficou mais bonita.,Twitter for Android,2,0,"Foz do Iguaçu, Brasil"
52,🐺StephenWolf🐺,2022-11-09 13:41:14+00:00,@spartan_edition O Tabet esqueceu o outro lá o japonês... O Takaro Osako Nomuro,Twitter for Android,0,0,"Rio de Janeiro, RJ, Brasil"
53,LUÍSA LEHMAN,2022-11-09 13:40:49+00:00,@Rconstantino Ontem eu vi um post irônico do ex humorista Tabet comparando velhinhas em máquinas de apostas (slotma… https://t.co/bnZHyqgBb3,Twitter for iPhone,0,0,
54,Nelson 🇨🇳🇨🇺🇻🇪🇷🇺🇻🇳,2022-11-09 13:32:34+00:00,"@Will_Crw Infanto-juvenil, definiu o Tabet numa discussão.",Twitter for Android,2,0,"Rio de Janeiro, Brasil"
55,Olimpiasantana,2022-11-09 12:58:35+00:00,@zecarvalho23 @GadoDecider @antoniotabet Antonio Tabet foi no Monark? Prefiro um tratamento de canal.,Twitter for iPhone,1,0,"São Paulo, Brasil"
56,silvio junior,2022-11-09 12:40:36+00:00,@simonetebetbr @LulaOficial @geraldoalckmin Você Tabet só se junto ao governo lula por ministérios!,Twitter for Android,0,0,
57,danielasaboya,2022-11-09 12:37:23+00:00,@tania_stu @Guelcgomes @DrBrunoGino Mandei a lista do Tabet no grupo da família e escrevi exatamente essa frase. O último é o melhor. 😂😂😂,Twitter for Android,3,0,"São Paulo, Brasil"
58,*,2022-11-09 12:10:03+00:00,"Os liberais limpinhos acham que terão voz no governo Lula jkkkkkkk mal sabem que o PT quer vingança pelo ""golpe"" na… https://t.co/66qFgbDNxd",Twitter for Android,12,0,
59,Eduardo de Paula,2022-11-09 11:29:00+00:00,@OGloboPolitica A cara da Tabet que já sabe tudo sobre o projeto criminoso de poder.,Twitter Web App,0,0,São José do Rio Preto
60,Mário Cristian ,2022-11-09 11:25:17+00:00,"@antoniotabet Acrescenta:
- Antonio Tabet",Twitter for Android,0,0,
61,mônica ficando doida,2022-11-09 11:07:47+00:00,"ai a simone tabet entra pro governo, vira queridinha da esquerda burra e nois ta é fudido em 2026",Twitter for Android,0,0,"Marília, SP"
62,Reinaldo,2022-11-09 10:34:49+00:00,"@simonetebetbr @LulaOficial @geraldoalckmin A pergunta q não quer calar, o q vai receber em troca a Tabet pra apoiar essa quadrilha.",Twitter for Android,0,0,
63,Sandra 🦣 umaMutti,2022-11-09 04:04:03+00:00,"Eu acho q o ministério da defesa, o TCU e a lista do Tabet precisam avaliar os OVNIs e dar relatórios! #SpaceDoMuka",Twitter Web App,7,1,"São Paulo, Brasil"
64,Vitória Fernandes,2022-11-09 03:49:14+00:00,O DEBOCHE DO ANTÔNIO TABET NA LEGENDA kkkkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/StSh3CmZZB,Twitter for Android,0,0,Capixaba
65,t-kraitor 🤙🏻🦖,2022-11-09 03:07:44+00:00,"Substituições que machucam o olho, part 1: 
Tereza Cristina- Simone tabet
Paulo Guedes- Haddad 🤦🏻‍♂️",Twitter for iPhone,0,0,"Peçanha, Brasil"
66,"AKA OG ""duff""",2022-11-09 02:18:34+00:00,"@guilmoremy Alan Bida Nossako
Andressa Colindo
Benjamin Arrola
Botelho Pinto
Cíntia Amin Avara
Crispin Tinho
Cuca B… https://t.co/629Ci5d2jp",Twitter Web App,2,0,AKA OG REAL RATS 
67,Rox 🐾📚⚖️🎮🚩,2022-11-09 01:57:41+00:00,@napboladeneve @LE0NARD0S1LVA @ogatoajado @folha Isso que Antonio Tabet já deu uma aula a ele sobre o que é fake news ano passado,Twitter Web App,1,0,"Santa Catarina, Brasil"
