,name,time,tweet,Localization;;
"39,1586355381483077634,,""Se o Debate horrendo entre Lula e Bolsonaro, fosse entre Ciro X Tebet, Ciro X D`ávila, ou ainda, Tebet  X D´ávila seria esse baixo nível de ontem?? Vamos pensar e aprender a votar, povo brasileiro!"",";;
"40,1586353135551152128,,""O segundo turno que eu queria:";;
3° Simone Tebet x 4° Ciro Gomes,;;
O que temos.;;
1°Lula x 2° Bolsonaro.;;
;;
O segundo turno que deveria ser:;;
1° Valmir x 2° Rorgerio Carvalho,;;
O que temos.;;
"2° Rorgerio Carvalho x 3° Fábio Mitidieri"",";;
"41,1586352491309846528,,""engraçado que quem vota em Bolsonaro, a desculpa agora tá sendo o Lula,  se fosse Ciro e Bolsonaro ou qualquer outro, continuariam votando no Bolsonaro mas dessa vez iam justificar com o q ? ";;
"Bolsonaro é um espelho. É muita gente ignorante, intolerante, cheia de ódio q se vê nele"",";;
"42,1586349467179290624,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/a6odDUncnw"",";;
"43,1586346962559045632,,""O Ciro incorporou no Lula ontem, deu números estratosféricos na saúde em 14 anos de PT, na era Bolsonaro de dois anos de governo repassou cifras milionárias aos cofres dos estados e prefeituras. Vota nesse corrupto quem quer."",";;
"44,1586345975123251201,,""bolsonaro conseguiu juntar ciro, tebet, centrão, esquerda, luciano huck, minorias e OS VINGADORES tudo no mesmo barco! ";;
OS  V I N G A D O R E S  PEDINDO PRA VOTAR NO LULA!!! ;;
;;
TEM NOÇÃO QUE O BOLSONARO É TIPO O THANOS AGORA???????;;
"#NemTodoHeroiUsaCapa"",";;
"45,1586344195756736513,,""Mano, uma cachorrinha deu cria e minha mae ta cuidado, so 3 filhotes sobreviveram e ela deu o nome de ciro lula e bolsonaro 🤨"",";;
"46,1586343982577356804,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/rpsgmgARaJ"",";;
"47,1586343973387370501,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/mmwAPrBNh0"",";;
"48,1586343961764954112,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/OdrMiSs6vS"",";;
"49,1586340825566674944,,""""""Imagina Ciro nesse debate...""""";;
;;
Ciro participou de dois debates com Lula e Bolsonaro.;;
;;
Nos dois ficou trocando figurinha com o Bolsonaro, e teve um que o Lula já desestabilizou o garoto na primeira pergunta.;;
;;
"Ficou desnorteado o debate inteiro depois da primeira pergunta do barba"",";;
50,1586339820359815169,,Bolsonaro tem feito mais por Lula do que Ciro Gomes.,;;
"51,1586339637982728192,,""esse mlq se acha super pica inteligente por dizer """"nem lula nem bolsonaro, são dois ladrões, tinha q votar no ciro pipipipopo"""" mas essa desgraça nao sabe nem oq é direita ou esquerda https://t.co/6Jm5wh7WJS"",";;
"52,1586339071605067777,,""se tenho algum amigo/seguidor aqui que tenha votado no ciro, na simone ou em algum dos outros candidatos que nao tenha sido o Lula ou o Bolsonaro, recomendo de coração o vídeo a seguir. ";;
;;
"https://t.co/OUJHAnu2aQ"",";;
"53,1586337448380039169,,""BOLSONARO MENTIU ???? Lula é chefe de quadrilha, envolvido com as organizações criminosas. Roubou a vontade foi preso, foi solto devido ajuga dos parsas. Quem é pior?";;
;;
"Estou usando a fala do amigo é parceiro Ciro. https://t.co/6zmAFqTBeh"",";;
"54,1586337233337843712,,""Toda vez que eu pego um Uber e o cara é um Bolsonarista, eu ativo o Modo Ciro e meto o pau no Bolso e no Lula. Aí sem a defesa deles de “Mas e o PT?” eu fico até o fim da corrida metendo o pau no Bolsonaro 😂"",";;
"55,1586336795087712257,,""Não confundam meu ódio ao Bolsonaro com apoio ao Lula.";;
;;
Da mesma forma que voto no Lula pra tirar Bolsonaro do poder, votaria no Alckmin, no Amoedo, na Tebet, no Ciro, na Soraya e qualquer outro candidato que não fosse o Bolsonaro ou o Padre Kelmon.;;
;;
"Um beijo no umbigo e votem!!!"",";;
"56,1586335837184491524,,""Votar Lula é também votar Marina Silva, Simone Tebet, Ciro Gomes e FHC (alma do PSDB). É votar democracia";;
;;
Votar Bolsonaro é também votar Eduardo, Carlos e Flávio Bolsonaro;;
;;
"#Vote13 #Lulalá #Eleicoes2022 #EleiçõesBrasil #Brasil https://t.co/5ViVSAa4r2"",";;
57,1586331376298913793,,O gagá do Lula falou que MEI não é emprego que ..... da zero pra ele professor Bolsonaro. @CarlosBolsonaro @nikolas_dm @realpfigueiredo @fabiofaria @neymarjr @ciro_nogueira @jairbolsonaro @kimpaim,;;
"58,1586331095330689025,,""Toque para ver 👇🏼👇🏼👇🏼";;
"https://t.co/C4kpeskRff TEM MUITA PACIÊNCIA! SE FOSSE O CIRO..COLOCARIA ESTE IDIOTA NO LUGAR DELE..LULA DEIXOU DE FALAR MUITA COISA SUJA QUE SABEMOS SOBRE BOLSONARO..AH ,SE ELE FALASSE! CIRO FALARIA! https://t.co/8Z2PHeD8bt"",";;
"59,1586329784723742720,,""Conclusão após debate: Bolsonaro vive em um mundo paralelo e Lula vive do passado, sem muita solução pro futuro. Que falta faz o Ciro ao debate sobre o Brasil... De qualquer forma, temos chances reais de tirar o Bolsonaro do poder. Por ora isso que importa. Vamos de @LulaOficial"",";;
"60,1586315890194370560,,""Para quem ainda tem dúvidas que a família Bolsonaro é  desonesta e apoia milicianos, com a palavra o presidenciável Ciro Gomes! Ouçam e tirem suas conclusões...Eu vou de Lula 13, vem vc também... https://t.co/5cUQsOOizi"",";;
"61,1586312988578836483,,""Analisando esse segundo turno e pensando que a Simone tebet teve uma atuação muito maior e se mostrou muito mais empenhada e determinada em derrotar o Bolsonaro que o Ciro Gomes mano. É o fim dos tempos msm!";;
"Orando pra lula vencer domingo e segunda a gente voltar a odiar liberais"",";;
"62,1586301766596861952,,""Se Bolsonaro tivesse a desenvoltura/qualidade argumentativa de Ciro Gomes, o ex-presidiario sairia do debate chorando. Mas como Lula tem excessos de crimes, fica fácil para qualquer, mesmo com pouca capacidade intelectual, batê-lo."",";;
"63,1586293059335032834,,""Lula ganhando, eu: ";;
- Parabéns, Bolsonaro, por ter ressuscitado o Lula/PT.;;
;;
Bolsonaro ganhando, eu: ;;
- Parabéns, Lula, por não ter colocado o Ciro na cabeça de chapa. ;;
;;
"Sim, eu n queria ter q escolher nenhum desses dois farsantes."",";;
"64,1586256245706854400,,""Caralho o Ciro que era o Ciranha e do nada os vingadores vieram """"ajudar"""" o lula contra o bolsonaro, ou será que o Ciranha que foi chamar eles 👀"",";;
"65,1586255074782650370,,""Sou Mei e fiz bem nesse segundo turno, virei o voto de 1 tio do Lula para o Bolsonaro, virei voto de 2 amigas da minha namorada do lula para o bolsonaro, minha mãe  e minha namorada do ciro pro Bolsonaro +";;
"#viravoto #BolsonaroReeleito #Eleicoes2022 #Lula13pelaVidaPeloBrasil"",";;
"66,1586225493179011072,,""Ansioso, nervoso, esperançoso e confiante. Do primeiro turno pra cá, ao meu ver, não tiveram fatos novos que permitam o Bolsonaro a tirar a diferença que Lula abriu no dia 2. Ele precisa de 2/3 dos votos de Tebet, Ciro e os outros pra empatar com Lula e não vejo isso acontecer"",";;
67,1586224061465923584,,O bagulho é o seguinte lula morre daqui a 2 anos bolsonaro fica 1 ano no governo e dps e desligado junto com o seu vice assim como o Lula pois os 2 morreram aí vem e entra o ciro azaralhando a porra toda #tamojuntociroe100porcentoBrasil,;;
"68,1586212213332750336,,""Apesar de estar em minoria, o presidente Bolsonaro está ganhando o debate com os presidenciáveis Lula e Bonner até agora: 2 a 1 em campo. No conteúdo, Bolsonaro continua goleando!🇧🇷🇧🇷🇧🇷";;
"Ciro Nogueira"""""",";;
"69,1586209894981849088,,""A verdade eh, que se o Ciro tivesse no debate, ele iria comer o Bolsonaro nas ideias com farinha. Lula nao ta aguentando mais!"",";;
"70,1586204778236760064,,""Checagens de fake news, 28/10, 23h:";;
- PF prende atirador elite Bolsonaro - https://t.co/VooVoQpem1;;
- Lula hostilizado jogo Vasco - https://t.co/R8bfqKXz95;;
- Tarcísio forjou atentado - https://t.co/MTedwGez5U;;
"- Ciro pede voto Bolsonaro - https://t.co/lUlaIlaOmf"",";;
71,1586204250379808768,,Não tem como debater com uma pessoa com Bolsonaro e manter o nível do debate. Imaginem se esse debate fosse Lula X Ciro ou Tebet ou mesmo Serra ou Boulos. O nível seria outro. Bolsonaro é um mentiroso contumaz.,;;
"72,1586201332486213632,,""Ciro Gomes passava por cima de Bolsonaro fácil fácil nesse debate. Ele não ia saber nem a cor do caminhão que o atropelou... 👥🗣️🚛";;
;;
"#Eleições #Debate #Democracia #Ciro #Lula #Bolsonaro"",";;
"73,1586200710936338432,,""Amanda,  por que tanta surpresa do Moro apoiar o Bolsonaro?";;
Por que não se surpreender com o vice do lula?;;
"Que falou """"o lula quer voltar a  ena do crime."""" E hoje está ao lado dele. ";;
Por que não se surpreender com o apoio do Ciro e da Tebet?;;
"Os dois escurraçaram o lula no 1 turno."",";;
"74,1586198070290972672,,""Até entristece o nível d debate.";;
O tema corrupção sempre pega p Lula (ñ por acaso). ;;
Bolsonaro, nas 2 considerações finais, veio c/ cristianismo, aborto, droga, ideologia gênero. É medieval. ;;
Acho foi 3 x 2 p o Lula. ;;
Bem q podia ser o Ciro 12 ali; ;
Mas é #Lula13 ;;
"Pq Ele NÃO."",";;
"75,1586195697442988032,,""Tenho pra mim que o eleitor de Ciro que se abster nesse segundo turno ou votar em Bolsonaro, não entende nada do que nosso carequinha defende. Lula não é de longe a melhor opção, mas entre ele e Bolsonaro, não tem como.";;
;;
"Torcerei o nariz e apertarei 13."",";;
"76,1586194906514542592,,""Lula levará essas eleições, 6 milhões são muito difíceis de serem virados, ainda mais que os votos de Lula e Bolsonaro estão """"cristalizados"""".";;
e sabemos que mais da metade dos votos de Ciro e Tebet, vão pra Lula.;;
"única forma do Bozo ser eleito são as abstenções. VIVA LULA!"",";;
77,1586191210967752704,,Todas as vezes que bolsonaro e lula abria boca eu sentia mais prazer de ter votado no Ciro e mais tristeza por ver o suicídio do Brasil como nação. A saída é o aeroporto mesmo,;;
"78,1586191099227299840,,""o golpe foi dado por Bolsonaro e por Tebet também, Lula. ";;
;;
sabe quem não deu voto pró golpe e tava lá defendendo Dilma? ;;
;;
Ciro Gomes. que vocês estavam, há um mês, chamando de “Cironaro”…;;
;;
"#DebateNaGlobo"",";;
"79,1586190550897606656,,""Lula venceu o debate simplesmente por que insistiu em propostas (ao menos retoricamente). Os eleitores de Ciro e Simone, votavam neles exatamente por causa disso. Foi de caso pensado. ";;
;;
"Bolsonaro perdeu as eleições."",";;
"80,1586190413622546434,,""Se tivesse o Ciro ou a Tebet ia ficar ruim pro Bolsonaro. ";;
;;
"Conta o Lula é só se escorar no tema corrupção."",";;
