,name,time,tweet,Source,Likes,RTs,Localization
1272,John Denver ✈️🌎,2022-11-11 00:00:01+00:00,@malcocad @eixopolitico E daí? Quer dizer então que o Lula não é diferente do Bozo?,Twitter for Android,0,0,
1273,Alder O LeSilva,2022-11-11 00:00:01+00:00,@CentralEleicoes Lula sabe que  o ministério da Fazenda  precisa ser comandado por alguém que seja palatável pelo a… https://t.co/VjQpx3mFL8,Twitter Web App,1,0,
1274,Pinasss,2022-11-11 00:00:01+00:00,@felipeneto Só passando pra lembrar que o lula é ladrão,Twitter for Android,0,0,na sua
1275,Alessandra 22 ,2022-11-11 00:00:01+00:00,@rogeriosmarinho E VAI PIORAR MUITO  LULA JÁ SE COMPROMETEU A SUSTENTAR AS DITADURAS DA AMÉRICA DO SUL E DE CUBA,Twitter Web App,0,0,UK
1276,CUT Brasil,2022-11-11 00:00:00+00:00,"Lula chora ao falar da volta da fome e pede respeito à democracia brasileira.

https://t.co/p7rzt2geMf",Twitter Web App,13,4,Brasil
1277,Elen Torres 🔰,2022-11-10 23:59:59+00:00,Lula + Mantega = https://t.co/cpSFrhNPHY,Twitter for Android,2,1,Brasil
1278,katia pinheiro,2022-11-10 23:59:59+00:00,@brom_elisa Rombo de 400 bilhões e os irresponsáveis jogando a culpa no Lula,Twitter for Android,0,0,
1279,Teresa Ribeiro,2022-11-10 23:59:58+00:00,"@Corrinhamd @DilmaResiste Que dia histórico, para o Lula, que é Gigante! Que abrilhanta  os lugares por onde passa! Parabéns Tri Campeão!",Twitter for Android,0,0,"Recife, Brasil"
1280,Pulga Chata2,2022-11-10 23:59:58+00:00,Moraes pede ao Lula que regule a internet! https://t.co/HdyL3wy9U2,Twitter for iPhone,0,0,"São Paulo, Brasil"
1281,Rodrigo B. de Araújo,2022-11-10 23:59:57+00:00,"@xicograziano Não se faça de doído! Vc influenciou muitas pessoas votarem no canalha do Lula, tenha vergonha na sua cara!",Twitter Web App,0,0,
1282,AGORA NOTÍCIAS BRASIL,2022-11-10 23:59:56+00:00,"Dólar dispara e vai perto de R$ 5,40 após fala de Lula https://t.co/5U0HehZ9l7
https://t.co/5U0HehZ9l7",Twitter Web App,6,1,Brasil
1283,Maria Goncalves De Oliveira,2022-11-10 23:59:56+00:00,Lula vejo como é grande sua rejeição. Volta pro seu lugar,Twitter for iPhone,0,0,
1284,Hilda,2022-11-10 23:59:55+00:00,@BianeReserva Intervenção num país democrático? Lula venceu a eleição. Ponto final! Querem passar por cima com essa… https://t.co/zIkiQOQDuw,Twitter Web App,0,0,Brazil
1285,Jonailson Rocha🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧,2022-11-10 23:59:55+00:00,"@LulaOficial @ricardostuckert A Petrobras neses 10 dias já perdeu  150 bilhões e Hoje, a bolsa brasileira perdeu em… https://t.co/JmkXkim7yD",Twitter for Android,0,0,"Crato, Brasil"
1286,Ezilda Medeiros,2022-11-10 23:59:55+00:00,"@choquei Culpa de Lula, né? A inflação sempre foi controlada pelo bozo...ah, não. Só a 3 meses das eleições.",Twitter for Android,0,0,"Natal, Brasil"
1287,Conservador,2022-11-10 23:59:53+00:00,@VEJA @milton_savana Lula sempre foi um irresponsável e a Veja mais ainda pela irresponsabilidade galática em prover um ladrão,Twitter Web App,0,0,
1288,Elaine 🐭 🧪🧬💉🐊🐁,2022-11-10 23:59:53+00:00,Lula realmente transformou os banheiros em unissex. Mais uma promessa cumprida antes de assumir! https://t.co/3rQsbsbxMg,Twitter for Android,1,0,"São Paulo, Brasil"
1289,Hamilton,2022-11-10 23:59:52+00:00,@simonetebetbr Eu tentando achar um amigo negro do Lula... https://t.co/M5BYhqasHv,Twitter for Android,0,0,"São Paulo, Brasil"
1290,RejaneBlanco🇧🇷🌻,2022-11-10 23:59:52+00:00,"@JHFonseca Lula nunca quis agradar o mercado
https://t.co/81pp25JpA8",Twitter for Android,0,0,"Rio de Janeiro, Brasil"
1291,Galvão,2022-11-10 23:59:52+00:00,@TerraBrasilnot Se deixarmos Lula e ministros do STF destruirão o Brasil #ForaLulaLadrão,Twitter for iPhone,0,0,"Londrina, Brasil"
1292,Eliana Costa,2022-11-10 23:59:52+00:00,"@AndreJanonesAdv @BlogdoNoblat @evandro_eboli @AndreJanonesAdv é@Lula,Cuidem se.Estamos rezando por vcs.Deus esteja com vcs sempre.",Twitter for Android,2,0,
1293,ADRIANE CRISTINA PINHO SILVA,2022-11-10 23:59:52+00:00,"@TiegoLobato @felipeneto Você e Lula só tem uma diferença um do outro, você Lícia menores, e ele rouba o país. Mas… https://t.co/4sIjJCfpl7",Twitter for iPhone,0,0,
1294,Hopeˢᵉᵖ🇧🇷,2022-11-10 23:59:51+00:00,Lula falando asneiras sobre economia para gerar polêmica.  Alckmin mostrando o novo governo. Estão querendo tirar o… https://t.co/TklETTE4zS,Twitter for Android,0,0,
1295,JP Brasil,2022-11-10 23:59:51+00:00,"@GuilhermeBoulos Os 10 dias de Lula após eleições:

- ""vamos gastar mais""
- ""pra q teto de gastos""
- Guido Mantega… https://t.co/hXqdfRkLvQ",Twitter for iPhone,0,0,
1296,JOILSON,2022-11-10 23:59:50+00:00,@revistaoeste LULA VAI FALIR O BRASIL,Twitter for Android,0,0,
1297,🇧🇷Noslig Said🇧🇷,2022-11-10 23:59:50+00:00,"@folha O Lula não deu cargo pro JANONES, ele ficou puto e jogou tudo no ventilador👆🏼😂😅🤣
BoRA COMPARTILHAR MEU POVO,… https://t.co/YkCfV1Kdi1",Twitter for Android,0,0,
1298,Brasil Livre,2022-11-10 23:59:49+00:00,"Tudo subindo muito no supermercado e o 
marginal nem entrou!!!

Bolsa tomba 3,35% e dólar vai a R$5,39 diante de in… https://t.co/sKG0XCV273",Twitter Web App,1,0,Brasil
1299,"Marreco de Maringá. ""Copiçaum, quack""!",2022-11-10 23:59:49+00:00,"@SigaGazetaBR Vira o disco gazeta do Moro. Lula é presidente, engole o choro.",Twitter Web App,0,0,
