,name,time,tweet,Source,Likes,RTs,Localization
834,Cleidson Café,2022-11-10 23:43:54+00:00,"@BitcoinerThe @felix_soibelman O problemão, curiosamente surge quando Bolsonaro perde? Você nem desconfia de certa… https://t.co/UqffSEEtYQ",Twitter for Android,0,0,Brasil
835,Sergio Albuquerque,2022-11-10 23:43:54+00:00,@ASachsida Bolsonaro estourou o teto de gastos em todos os anos do seu governo; aumentou a carga tributária; torrou… https://t.co/bcVeBC2g74,Twitter Web App,0,0,"Washington, DC."
836,Leonel ♿,2022-11-10 23:43:51+00:00,"@striptysy isso quando não diziam que o mercado GOSTOU, REAGIU MUITO BEM, SUBIU.... depois de alguma fala absurda d… https://t.co/ct5V0EYeWP",TweetDeck,2,0,+55 51
837,Leonardo 124C 41+,2022-11-10 23:43:50+00:00,"@Luanmrb @L3itadas_l03n_ @opropriointanka Mendonça,Jorge,Levy, Ramos e no fim a turminha do centrão(Garanhão)... To… https://t.co/sPnD0YgFYO",Twitter for Android,1,0,"Recife, Brasil"
838,MordekaiRj,2022-11-10 23:43:50+00:00,"@PedroRonchi2 ""Mercado""

Guedes e Bolsonaro destruíram as contas públicas..

33 milhões de pessoas em insegurança a… https://t.co/UPp1ZzvFGh",Twitter for Android,0,0,Rio de Janeiro - Brasil
839,Ⓜ️arcelo Ⓜ️ota ®️ibeiro ✝️💻🩼🦿,2022-11-10 23:43:49+00:00,"@mendlowicz Na próxima, ele vai dizer que um ancestral do Bolsonaro inventou o capitalismo.",Twitter Web App,1,0,"Belo Horizonte, Minas Gerais"
840,Mr. Wallace,2022-11-10 23:43:49+00:00,"Eu já tô vendo que vão ser longos anos de ""ué, mas como que como o Bolsonaro não era assim? Obviamente estão sendo… https://t.co/X7YYrAtKVb",Twitter for Android,0,0,
841,Júnior Gama,2022-11-10 23:43:47+00:00,"@ThiagoResiste Primeiro Bolsonaro não convocou nada, segundo o relatório não disse o que vc afirma em seu texto.

N… https://t.co/5nBB6erQxZ",Twitter for Android,0,0,
842,Fabio Zani,2022-11-10 23:43:47+00:00,@TumultoBR Piriguete mentirosa. Alguém envia para ela os vídeos dos cupixas do lula espancando um casal de eleitore… https://t.co/8bLtZAOkyf,Twitter for Android,0,0,
843,Suyara Cochrane de Azevedo,2022-11-10 23:43:45+00:00,"@LulaOficial Roubando até a fala do bolsonaro, os patriotas já sabem que a camisa verde e amarelo não é de partido… https://t.co/wLBXyyG0bx",Twitter for Android,0,0,"Maresias, SP, Brasil "
844,dener souza 🇧🇷🇧🇷 🐺💙💙,2022-11-10 23:43:44+00:00,@rubensmenin @B3_Oficial Não adianta chorar sei canal de televisão apoia Lula seus repórteres arrogantes fora 4 ano… https://t.co/zvm0H8LF7r,Twitter for Android,0,0,"Curitiba, Brasil"
845,bruna martins 🇧🇷🌻,2022-11-10 23:43:44+00:00,"@CamargoDireita E eu tenho certeza que aqueles que chamam o Bolsonaro de frouxo, não aguentariam um mês sequer do q… https://t.co/K8tkc4fK9j",Twitter for Android,8,1,Brasil 
846,WALTER MARCELO,2022-11-10 23:43:43+00:00,"@gleisi Amante você tem algum problema? O mercado reagindo ao seu presidente LULALAU cagando pela boca, aí vc culpa… https://t.co/R4om97MOwj",Twitter Web App,1,0,Brasília DF 
847,Gedimar Pereira,2022-11-10 23:43:43+00:00,"@EdRaposo_ É por isso que eu venho falando sempre: se for pra reconhecer o resultado das urnas, é melhor bolsonaro… https://t.co/gwJryLMMD4",Twitter for Android,1,0,
